cam,date,missing
TOPI,2018-02-14,13.0
TOTM,2018-02-14,2.0
WHWI,2018-02-14,1.0
WINR,2018-02-14,4.0
WIWR,2018-02-14,0.0
CVTP,2018-02-15,33.0
CVWF,2018-02-15,10.0
MTSR,2018-02-15,30.0
N,2018-02-15,6.0
P,2018-02-15,34.0
R,2018-02-15,11.0
RIMM,2018-02-15,3.0
T,2018-02-15,17.0
TOPI,2018-02-15,30.0
TOTM,2018-02-15,9.0
WHWI,2018-02-15,1.0
WINR,2018-02-15,18.0
WIWR,2018-02-15,8.0
CVTP,2018-02-16,0.0
CVWF,2018-02-16,1.0
MTSR,2018-02-16,0.0
N,2018-02-16,11.0
P,2018-02-16,0.0
R,2018-02-16,0.0
RIMM,2018-02-16,11.0
T,2018-02-16,0.0
TOPI,2018-02-16,0.0
TOTM,2018-02-16,0.0
WHWI,2018-02-16,0.0
WINR,2018-02-16,1.0
WIWR,2018-02-16,0.0
CVTP,2018-02-17,0.0
CVWF,2018-02-17,0.0
MTSR,2018-02-17,0.0
N,2018-02-17,3.0
P,2018-02-17,0.0
R,2018-02-17,0.0
RIMM,2018-02-17,0.0
T,2018-02-17,0.0
TOPI,2018-02-17,0.0
TOTM,2018-02-17,0.0
WHWI,2018-02-17,0.0
WINR,2018-02-17,3.0
WIWR,2018-02-17,1.0
CVTP,2018-02-18,1.0
CVWF,2018-02-18,0.0
MTSR,2018-02-18,0.0
N,2018-02-18,9.0
P,2018-02-18,0.0
R,2018-02-18,0.0
RIMM,2018-02-18,16.0
T,2018-02-18,0.0
TOPI,2018-02-18,0.0
TOTM,2018-02-18,1.0
WHWI,2018-02-18,0.0
WINR,2018-02-18,1.0
WIWR,2018-02-18,0.0
CVTP,2018-02-19,1.0
CVWF,2018-02-19,0.0
MTSR,2018-02-19,0.0
N,2018-02-19,6.0
P,2018-02-19,0.0
R,2018-02-19,0.0
RIMM,2018-02-19,0.0
T,2018-02-19,0.0
TOPI,2018-02-19,0.0
TOTM,2018-02-19,0.0
WHWI,2018-02-19,0.0
WINR,2018-02-19,1.0
WIWR,2018-02-19,1.0
CVTP,2018-02-20,0.0
CVWF,2018-02-20,0.0
MTSR,2018-02-20,0.0
N,2018-02-20,0.0
P,2018-02-20,0.0
R,2018-02-20,0.0
RIMM,2018-02-20,1.0
T,2018-02-20,0.0
TOPI,2018-02-20,0.0
TOTM,2018-02-20,1.0
WHWI,2018-02-20,0.0
WINR,2018-02-20,0.0
WIWR,2018-02-20,0.0
CVTP,2018-02-21,0.0
CVWF,2018-02-21,0.0
MTSR,2018-02-21,1.0
N,2018-02-21,7.0
P,2018-02-21,0.0
R,2018-02-21,0.0
RIMM,2018-02-21,13.0
T,2018-02-21,0.0
TOPI,2018-02-21,0.0
TOTM,2018-02-21,1.0
WHWI,2018-02-21,0.0
WINR,2018-02-21,1.0
WIWR,2018-02-21,0.0
CVTP,2018-02-22,0.0
CVWF,2018-02-22,0.0
MTSR,2018-02-22,0.0
N,2018-02-22,14.0
P,2018-02-22,0.0
R,2018-02-22,0.0
RIMM,2018-02-22,14.0
T,2018-02-22,0.0
TOPI,2018-02-22,0.0
TOTM,2018-02-22,1.0
WHWI,2018-02-22,0.0
WINR,2018-02-22,0.0
WIWR,2018-02-22,0.0
CVTP,2018-02-23,0.0
CVWF,2018-02-23,0.0
MTSR,2018-02-23,0.0
N,2018-02-23,8.0
P,2018-02-23,0.0
R,2018-02-23,0.0
RIMM,2018-02-23,0.0
T,2018-02-23,1.0
TOPI,2018-02-23,0.0
TOTM,2018-02-23,0.0
WHWI,2018-02-23,0.0
WINR,2018-02-23,1.0
WIWR,2018-02-23,0.0
CVTP,2018-02-24,1.0
CVWF,2018-02-24,0.0
MTSR,2018-02-24,0.0
N,2018-02-24,5.0
P,2018-02-24,0.0
R,2018-02-24,0.0
RIMM,2018-02-24,80.0
T,2018-02-24,0.0
TOPI,2018-02-24,0.0
TOTM,2018-02-24,1.0
WHWI,2018-02-24,0.0
WINR,2018-02-24,3.0
WIWR,2018-02-24,0.0
CVTP,2018-02-25,0.0
CVWF,2018-02-25,1.0
MTSR,2018-02-25,0.0
N,2018-02-25,1.0
P,2018-02-25,0.0
R,2018-02-25,0.0
RIMM,2018-02-25,49.0
T,2018-02-25,0.0
TOPI,2018-02-25,0.0
TOTM,2018-02-25,1.0
WHWI,2018-02-25,0.0
WINR,2018-02-25,1.0
WIWR,2018-02-25,1.0
CVTP,2018-02-26,1.0
CVWF,2018-02-26,0.0
MTSR,2018-02-26,0.0
N,2018-02-26,8.0
P,2018-02-26,0.0
R,2018-02-26,1.0
RIMM,2018-02-26,0.0
T,2018-02-26,0.0
TOPI,2018-02-26,0.0
TOTM,2018-02-26,3.0
WHWI,2018-02-26,0.0
WINR,2018-02-26,0.0
WIWR,2018-02-26,0.0
CVTP,2018-02-27,3.0
CVWF,2018-02-27,0.0
MTSR,2018-02-27,1.0
N,2018-02-27,4.0
P,2018-02-27,1.0
R,2018-02-27,0.0
RIMM,2018-02-27,0.0
T,2018-02-27,1.0
TOPI,2018-02-27,6.0
TOTM,2018-02-27,0.0
WHWI,2018-02-27,0.0
WINR,2018-02-27,0.0
WIWR,2018-02-27,1.0
CVTP,2018-02-28,0.0
CVWF,2018-02-28,1.0
MTSR,2018-02-28,0.0
N,2018-02-28,4.0
P,2018-02-28,0.0
R,2018-02-28,0.0
RIMM,2018-02-28,23.0
T,2018-02-28,0.0
TOPI,2018-02-28,0.0
TOTM,2018-02-28,0.0
WHWI,2018-02-28,0.0
WINR,2018-02-28,1.0
WIWR,2018-02-28,0.0
CVTP,2018-03-01,0.0
CVWF,2018-03-01,0.0
MTSR,2018-03-01,1.0
N,2018-03-01,7.0
P,2018-03-01,0.0
R,2018-03-01,0.0
RIMM,2018-03-01,77.0
T,2018-03-01,0.0
TOPI,2018-03-01,0.0
TOTM,2018-03-01,0.0
WHWI,2018-03-01,0.0
WINR,2018-03-01,0.0
WIWR,2018-03-01,0.0
CVTP,2018-03-02,0.0
CVWF,2018-03-02,3.0
MTSR,2018-03-02,0.0
N,2018-03-02,6.0
P,2018-03-02,0.0
R,2018-03-02,0.0
RIMM,2018-03-02,1.0
T,2018-03-02,0.0
TOPI,2018-03-02,0.0
TOTM,2018-03-02,0.0
WHWI,2018-03-02,0.0
WINR,2018-03-02,1.0
WIWR,2018-03-02,0.0
CVTP,2018-03-03,0.0
CVWF,2018-03-03,4.0
MTSR,2018-03-03,0.0
N,2018-03-03,1.0
P,2018-03-03,0.0
R,2018-03-03,0.0
RIMM,2018-03-03,0.0
T,2018-03-03,0.0
TOPI,2018-03-03,0.0
TOTM,2018-03-03,0.0
WHWI,2018-03-03,0.0
WINR,2018-03-03,3.0
WIWR,2018-03-03,0.0
CVTP,2018-03-04,0.0
CVWF,2018-03-04,0.0
MTSR,2018-03-04,0.0
N,2018-03-04,2.0
P,2018-03-04,0.0
R,2018-03-04,0.0
RIMM,2018-03-04,0.0
T,2018-03-04,0.0
TOPI,2018-03-04,0.0
TOTM,2018-03-04,0.0
WHWI,2018-03-04,0.0
WINR,2018-03-04,0.0
WIWR,2018-03-04,0.0
CVTP,2018-03-05,1.0
CVWF,2018-03-05,1.0
MTSR,2018-03-05,0.0
N,2018-03-05,1.0
P,2018-03-05,0.0
R,2018-03-05,0.0
RIMM,2018-03-05,0.0
T,2018-03-05,0.0
TOPI,2018-03-05,0.0
TOTM,2018-03-05,1.0
WHWI,2018-03-05,0.0
WINR,2018-03-05,0.0
WIWR,2018-03-05,0.0
CVTP,2018-03-06,1.0
CVWF,2018-03-06,0.0
MTSR,2018-03-06,0.0
N,2018-03-06,1.0
P,2018-03-06,0.0
R,2018-03-06,0.0
RIMM,2018-03-06,0.0
T,2018-03-06,0.0
TOPI,2018-03-06,0.0
TOTM,2018-03-06,0.0
WHWI,2018-03-06,0.0
WINR,2018-03-06,0.0
WIWR,2018-03-06,1.0
CVTP,2018-03-07,0.0
CVWF,2018-03-07,1.0
MTSR,2018-03-07,0.0
N,2018-03-07,0.0
P,2018-03-07,0.0
R,2018-03-07,0.0
RIMM,2018-03-07,29.0
T,2018-03-07,0.0
